#Angulo(°)±0.05	I(mA)	Angulo(°)±0.05	0°	30°	45°	60°	90°	Angulo(°)±0.05	0°	45°
-90	0.4	-90	0.4	14.6	19.8	14.2	0.7	-90	1.2	1.0
-85	0.7	-85	0.6	12.9	19.7	15.4	0.8	-85	0.7	0.5
-80	1.5	-80	1.3	11.7	19.5	17.0	1.3	-80	0.6	0.2
-75	3.4	-75	2.6	10.7	19.3	18.0	2.3	-75	0.9	0.5
-70	5.8	-70	4.4	9.8	19.2	20.0	4.0	-70	1.6	1.5
-65	8.7	-65	6.6	9.3	18.8	21.3	5.9	-65	3.0	2.3
-60	12.1	-60	9.4	9.1	18.9	22.0	8.3	-60	4.8	3.4
-55	16.2	-55	12.3	9.2	18.6	23.8	11.5	-55	6.4	4.6
-50	20.5	-50	15.4	9.6	18.5	24.6	14.7	-50	8.6	6.2
-45	25.5	-45	18.7	10.3	18.2	25.3	17.7	-45	10.8	7.7
-40	29.5	-40	21.8	11.3	18.1	25.8	20.6	-40	13.2	9.2
-35	33.9	-35	25.2	12.6	18.1	26.1	24.4	-35	15.8	10.6
-30	37.6	-30	28.1	14.1	18.0	26.0	27.3	-30	18.4	12.5
-25	41.7	-25	31.4	15.6	17.9	25.5	30.0	-25	20.8	14.3
-20	44.5	-20	33.4	17.3	17.8	24.8	32.6	-20	23.1	15.5
-15	46.6	-15	35.3	18.8	17.8	24.3	34.7	-15	24.9	16.7
-10	48.5	-10	36.6	20.5	17.9	23.2	36.0	-10	26.5	17.6
-5	49.0	-5	37.6	22.2	18.1	21.8	36.9	-5	27.7	18.4
0	49.4	0	37.9	23.6	18.1	20.7	37.5	0	28.7	18.8
5	48.7	5	37.6	25.3	18.1	19.1	37.4	5	29.1	19.1
10	47.6	10	36.6	26.4	18.4	17.8	36.7	10	29.2	19.0
15	45.5	15	35.2	27.6	18.6	16.3	35.3	15	28.7	18.7
20	43.5	20	33.2	28.3	18.8	14.9	33.8	20	28.1	18.1
25	40.1	25	30.9	28.9	19.0	13.7	31.5	25	26.7	17.3
30	36.3	30	28.3	28.7	19.2	12.2	29.1	30	25.1	16.2
35	32.7	35	25.2	28.2	19.3	11.2	26.0	35	22.7	15.1
40	28.7	40	22.0	28.1	19.5	10.4	23.1	40	20.9	13.4
45	24.3	45	18.7	27.4	19.4	9.6	19.3	45	18.4	11.9
50	20.5	50	15.6	26.4	19.7	9.2	15.8	50	15.9	10.4
55	16.0	55	12.0	25.0	19.6	9.0	12.9	55	13.0	8.5
60	11.9	60	9.1	23.6	19.7	9.1	10.2	60	11.2	7.1
65	8.5	65	6.7	22.3	19.8	9.5	7.7	65	8.6	5.4
70	5.8	70	4.6	20.5	19.9	10.1	5.5	70	6.4	4.1
75	3.5	75	2.8	19.1	19.9	10.8	3.4	75	4.5	3.1
80	1.8	80	1.4	17.4	19.9	11.8	1.8	80	3.0	2.0
85	0.8	85	0.6	16.0	19.8	13.2	0.9	85	1.7	1.3
90	0.4	90	0.4	14.4	19.8	14.5	0.5	90	1.0	0.9
