#Angulo(°)±0.05	I(mA)	Angulo(°)±0.05	0°	30°	45°	60°	90°	Angulo(°)±0.05	0°	45°
-90	0.1	-90	0.1	6.3	8.8	7.6	0.2	-90	0.1	0.4
-85	0.2	-85	0.3	5.5	8.8	8.1	0.4	-85	0.1	0.3
-80	0.6	-80	0.7	4.9	8.6	8.7	0.9	-80	0.3	0.4
-75	1.3	-75	1.4	4.4	8.4	9.3	1.7	-75	0.8	0.8
-70	2.2	-70	2.3	3.9	8.2	9.8	2.5	-70	1.5	1.4
-65	3.0	-65	3.5	3.7	8.1	10.5	3.7	-65	2.3	2.2
-60	4.8	-60	4.8	3.6	7.9	10.9	5.1	-60	3.2	3.0
-55	6.3	-55	6.1	3.7	7.8	11.3	6.5	-55	4.3	4.1
-50	8.0	-50	7.5	3.9	7.6	11.5	8.7	-50	5.5	5.2
-45	9.7	-45	8.9	4.2	7.6	11.7	9.4	-45	6.8	6.3
-40	11.2	-40	10.3	4.6	7.5	11.9	10.8	-40	8.0	7.5
-35	12.7	-35	11.6	5.2	7.4	12.0	12.1	-35	9.1	8.5
-30	14.1	-30	12.9	5.9	7.3	11.8	13.2	-30	10.2	9.6
-25	15.6	-25	14.0	6.8	7.4	11.7	14.5	-25	11.4	10.9
-20	17.0	-20	15.4	7.7	7.4	11.6	15.7	-20	12.8	11.9
-15	18.3	-15	16.5	8.8	7.8	11.3	16.8	-15	13.7	13.0
-10	19.4	-10	17.2	9.8	8.1	11.0	17.4	-10	14.4	13.8
-5	20.0	-5	17.6	10.7	8.3	10.6	17.7	-5	14.9	14.3
0	20.3	0	17.7	11.5	8.5	10.0	17.6	0	15.1	14.5
5	20.1	5	17.3	12.2	8.5	9.4	17.3	5	15.0	14.4
10	19.7	10	16.9	12.8	8.6	8.8	16.6	10	14.7	14.3
15	18.8	15	16.1	13.3	8.8	8.1	15.8	15	14.2	13.8
20	17.8	20	15.1	13.6	8.9	7.5	14.7	20	13.5	13.2
25	16.5	25	14.0	13.8	9.0	6.9	13.6	25	12.5	12.4
30	15.1	30	12.7	13.9	9.1	6.4	12.2	30	11.6	11.5
35	13.5	35	11.3	13.8	9.2	6.0	10.7	35	10.5	10.4
40	11.9	40	9.8	13.6	9.3	5.7	9.3	40	9.3	9.3
45	10.2	45	8.2	13.2	9.4	5.5	7.7	45	8.0	8.1
50	8.4	50	6.7	12.7	9.3	5.3	6.4	50	6.7	7.0
55	6.7	55	5.4	12.0	9.3	5.1	5.0	55	5.4	0.6
60	5.1	60	4.1	11.4	9.4	5.3	3.6	60	4.2	4.5
65	3.7	65	2.8	10.5	9.4	5.5	2.5	65	3.1	3.4
70	2.5	70	1.8	9.6	9.2	5.8	1.6	70	2.1	2.4
75	1.4	75	1.0	8.7	9.3	6.2	0.9	75	1.4	1.6
80	0.7	80	0.5	7.7	8.9	6.7	0.4	80	0.7	1.0
85	0.3	85	0.2	6.9	8.9	7.2	0.2	85	0.3	0.0
90	0.1	90	0.1	6.1	8.7	7.7	0.2	90	0.1	0.3
