#Angulo(°)±0.05	I(mA)	Angulo(°)±0.05	0°	30°	45°	60°	90°	Angulo(°)±0.05	0°	45°
-90	0.24	-90	0.1	1.5	1.7	2.0	0.1	-90	0.5	1.0
-85	0.32	-85	0.2	1.7	1.7	1.8	0.1	-85	0.5	0.6
-80	0.56	-80	0.2	2.0	1.7	1.7	0.1	-80	0.7	0.5
-75	1	-75	0.4	2.2	1.7	1.6	0.2	-75	1.3	0.8
-70	1.55	-70	0.6	2.4	1.7	1.5	0.3	-70	2.2	1.3
-65	2.34	-65	0.8	2.6	1.7	1.5	0.5	-65	3.4	2.3
-60	3.21	-60	1.1	2.9	1.7	1.5	0.7	-60	4.8	3.4
-55	4.29	-55	1.4	3.1	1.6	1.4	0.9	-55	6.4	4.8
-50	5.4	-50	1.8	3.2	1.6	1.4	1.1	-50	8.2	6.5
-45	6.56	-45	2.2	3.4	1.6	1.5	1.4	-45	10.2	8.3
-40	7.77	-40	2.5	3.5	1.6	1.5	1.6	-40	12.0	10.1
-35	8.94	-35	2.9	3.5	1.7	1.6	1.8	-35	14.0	12.1
-30	10.01	-30	3.2	3.6	1.7	1.7	2.1	-30	15.9	13.9
-25	11.01	-25	3.6	3.6	1.6	1.8	2.3	-25	17.6	15.8
-20	11.88	-20	3.9	3.5	1.6	1.9	2.7	-20	19.2	17.5
-15	12.68	-15	4.1	3.4	1.6	2.0	3.0	-15	20.5	19.1
-10	13.22	-10	4.2	3.3	1.7	2.2	3.2	-10	21.5	20.4
-5	13.64	-5	4.3	3.1	1.7	2.3	3.3	-5	22.3	21.5
0	13.82	0	4.4	2.9	1.6	2.4	3.3	0	22.8	22.1
5	14.23	5	4.4	2.7	1.6	2.6	3.2	5	22.9	22.5
10	13.92	10	4.3	2.5	1.6	2.7	3.2	10	22.5	22.6
15	13.43	15	4.2	2.2	1.7	2.8	2.9	15	21.8	22.3
20	12.73	20	3.9	2.0	1.6	2.9	2.7	20	20.7	21.5
25	11.91	25	3.7	1.7	1.6	2.9	2.5	25	19.4	20.7
30	10.93	30	3.4	1.5	1.7	2.9	2.3	30	18.0	19.5
35	9.84	35	3.0	1.3	1.6	2.9	2.1	35	16.3	17.9
40	8.67	40	2.7	1.1	1.7	2.8	1.9	40	14.4	16.2
45	7.48	45	2.3	1.0	1.6	2.8	1.6	45	12.5	14.4
50	6.2	50	1.9	0.9	1.7	2.8	1.4	50	10.5	12.5
55	4.99	55	1.5	0.9	1.6	2.7	1.1	55	8.6	10.6
60	3.89	60	1.2	0.8	1.7	2.6	0.9	60	6.8	8.6
65	2.78	65	0.9	0.9	1.6	2.5	0.7	65	5.1	6.9
70	1.91	70	0.6	0.9	1.7	2.4	0.5	70	3.7	5.2
75	1.22	75	0.4	1.0	1.6	2.2	0.3	75	2.4	3.7
80	0.69	80	0.3	1.3	1.7	2.1	0.2	80	1.5	2.5
85	0.39	85	0.2	1.3	1.7	2.0	0.1	85	0.8	1.5
90	0.27	90	0.1	1.5	1.7	1.9	0.1	90	0.5	0.9
