#Angulo(°)±0.05	I(mA)	Angulo(°)±0.05	0°	30°	45°	60°	90°
-90	0.7	90	0.6	12.6	15.1	10.7	0.7
-85	0.8	85	0.5	11.4	15.0	11.8	0.5
-80	1.5	80	0.8	10.2	15.0	13.0	0.8
-75	2.7	75	1.7	9.3	15.0	14.1	1.4
-70	4.4	70	3.0	8.4	14.9	15.4	2.5
-65	6.4	65	4.6	7.8	14.8	16.6	4.0
-60	8.9	60	6.6	7.4	14.7	17.6	5.8
-55	11.6	55	8.9	7.2	14.6	18.7	7.9
-50	14.7	50	11.2	7.2	14.5	19.7	10.2
-45	17.7	45	14.0	7.5	14.5	20.5	12.6
-40	20.8	40	16.5	8.1	14.4	21.1	15.3
-35	23.8	35	19.0	8.8	14.3	21.6	17.8
-30	26.8	30	21.5	9.7	14.2	21.9	20.3
-25	29.4	25	23.9	10.8	14.1	21.8	22.5
-20	31.8	20	26.0	12.0	14.1	21.6	24.6
-15	33.7	15	27.4	13.3	14.1	21.2	26.4
-10	35.1	10	28.9	14.5	14.1	20.7	27.8
-5	35.9	5	29.8	16.0	14.1	20.1	28.8
0	36.4	0	30.6	17.2	14.1	18.7	29.1
5	36.1	-5	30.2	18.4	14.2	17.7	29.1
10	35.3	-10	29.9	19.5	14.2	16.4	29.0
15	34	-15	28.9	20.6	14.2	15.2	28.1
20	32.3	-20	27.7	21.4	14.2	13.9	26.9
25	29.9	-25	26.0	21.9	14.4	12.8	25.5
30	27.3	-30	24.1	22.4	14.5	11.6	23.4
35	24.6	-35	21.9	22.6	14.6	10.6	21.3
40	21.4	-40	19.4	22.3	14.6	9.6	18.8
45	18.3	-45	17.1	21.9	14.7	8.9	16.5
50	15.2	-50	14.6	21.4	14.8	8.3	14.0
55	12.2	-55	12.1	20.6	14.8	7.9	11.4
60	9.5	-60	9.8	19.7	15.0	7.8	9.1
65	6.8	-65	7.6	18.5	15.0	7.8	6.8
70	4.7	-70	5.8	17.2	15.0	8.0	4.8
75	2.9	-75	4.2	16.0	15.0	8.5	3.2
80	1.7	-80	3.1	14.6	15.0	9.2	1.9
85	0.9	-85	2.3	13.3	14.9	10.0	1.0
90	0.7	-90	2.0	12.2	14.9	10.9	0.6
